search_id	query_or_target	source_type	outcome	used_for	limit_or_disposition
R16-S01	SerialVerbPurposeChain/PurposePredicate/ProgressivePurposeClause runtime and fixture extraction	internal runtime, fixture, and governance inspection	VERIFIED_INTERNAL	exact current templates, fallbacks, accepted surfaces, and dormant-node status	Internal behavior is not Cantonese evidence.
R16-S02	Matthews 2006 On Serial Verb Constructions in Cantonese	scholarly book chapter full text	VERIFIED	SVC diagnostics, purpose 嚟/去, complex chains, semantic/pragmatic restrictions, null-object boundary	Analysis can be indeterminate and does not license adjacency-based parsing.
R16-S03	Chor 2018 purposive 嚟/去 section	research monograph full text	VERIFIED	exact 攞糖嚟/去食 example, 嚟/去 asymmetry, pure purposive 嚟, durative+purpose example	Theory-specific hidden-goal analysis not imported.
R16-S04	Lam and Bodomo 2003 verb order in Cantonese SVCs	official ACL Anthology proceedings paper and metadata	VERIFIED	progressive first VP + 嚟 + purpose VP and constrained VP order	OT analysis and one example do not validate the exact runtime template.
R16-S05	Cantonese action-object + 嚟/去 + purpose predicate	cross-source comparison	VERIFIED_SYNTHESIS	overt-linker purpose subtype and linker asymmetry	No free cross-product or synonymy inferred.
R16-S06	unmarked Cantonese ProductiveVO + final 食 purpose chains	targeted research search and source comparison	PARTIALLY_VERIFIED	identified related SVC and null-object evidence	No source established the runtime’s broad adjacency template as a uniform construction.
R16-S07	ProgressivePurposeClause exact 喺度 + V緊O + VO form	targeted primary-source search	SOURCE_GAP_RECORDED	quarantine of exact seven-slot runtime profile	Related progressive/durative purpose chains contain overt 嚟/去; exact unlinked template not established.
R16-S08	PurposePredicate as independent Cantonese construction	runtime/source comparison	NO_INDEPENDENT_CONSTRUCTION_FOUND	merge-or-retire disposition	V+O form is ordinary VP material; purpose is relational.
R16-S09	motion-purpose relation inherited CP021B-R2	existing project source matrix review	VERIFIED_INHERITED_BOUNDARY	prevent duplicate MotionPurposeChain and SerialVerbPurposeChain analyses	Inherited mapping remains unchanged.
R16-S10	generic web grammar summaries and teaching pages	discovery screen	SCREENED_NOT_USED_AS_AUTHORITY	bibliographic discovery only	Non-primary summaries excluded from claim authority.
