priority	pattern	current_linguistic_status	recorded_independent_speaker_count	speakers_needed_for_provisional	additional_speakers_needed_for_supported_productive	review_scope	speaker_requirements	parser_output_hidden	provisional_blocked_by_speaker_requirement	supported_productive_blocked_by_speaker_requirement
1	PostverbalZoPerfectiveVP	provisional_reaudit	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
2	ResourceUseLaiFunctionRelation	provisional_reaudit	0	1	2	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
3	OvertHeadDemonstrativeClassifierNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	DegreeStativePredicate	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	DiMarkedNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	DirectionalMotionVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	ExperientialVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	IntendedFunctionRelation	research_pending	0	1	2	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true	true
later	LexicalGiveRelation	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	ModalVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	ModifiedNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	ModifierNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	NegatedDirectionalMotionVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	NegatedExistentialFragment	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	PassivePermissiveRelation	research_pending	0	1	2	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	true	true
later	PerfectiveVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	PostThemeParticipantRelation	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	QuantifiedClassifierNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	QuantityNP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	ReportedSpeech	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	TemporalClause	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	TransitiveVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
later	VerbComplementVP	research_pending	1	0	1	same core positive and negative contrasts used to define the narrow construction	native Cantonese; independent of prior reviewer and implementation; variety and context recorded	true	false	true
