probe_or_target	current_runtime_result	overlap_or_failure	decisive_difference	current_disposition
`早知你坐佢架車咪仲好。`	Only `架車` is `ModifiedNP`; `早`, `知`, `你`, `坐`, `佢`, `咪`, `仲`, and `好` remain unwrapped; root coverage PARTIAL.	A nominal substring is recognized while the marker, participants, remedy/evaluation, and cross-clause dependency disappear.	The exact native utterance is a hindsight-regret frame with an unresolved non-prohibitive `咪仲好` apodosis, not a modified NP plus loose tokens.	DEDICATED_RESEARCH_UNIT_REQUIRED_MI5_SUBTYPE_QUARANTINED
`早知係咁就五點收工啦。`	NO_TOP_CONSTRUCTION; all content graphs remain root-level/unwrapped.	Neither the marker/complement nor `就`-linked unrealized remedy is represented.	Primary-source CCR structure requires a relation between too-late knowledge and a past unrealized remedy.	CORE_ZOU2ZI1_ZAU6_PROFILE_MISSING
`早知問下人就唔會蕩失路啦。`	Only `會蕩失路` is wrapped as broad `ModalVP`; `早知問下人就唔` remains unwrapped; root coverage PARTIAL.	The modal substring obscures the negative consequent and its dependence on the hindsight clause.	The source example contains a regret marker, knowledge complement/remedy antecedent, and `就唔會` counterfactual consequent.	REJECT_MODALVP_AS_SUFFICIENT_CARRIER
`早知我就唔去啦。`	Only `唔去` is `NegatedDirectionalMotionVP`; `早知我就` remains unwrapped; root coverage PARTIAL.	The parser can see the remedy predicate but not complement omission or regret linkage.	Omitted knowledge content must remain discourse-recoverable and cannot be replaced by an invented hidden fact.	COMPLEMENT_DROP_PROFILE_QUARANTINED
`我就唔去啦，早知係咁。`	Only `唔去` is `NegatedDirectionalMotionVP`; the postposed `早知係咁` remains unwrapped; root coverage PARTIAL.	Linear target detection fails when remedy precedes the marker clause.	The primary study reports noncanonical order, but relation-building still requires coherent hindsight and remedy roles.	REVERSE_ORDER_PROFILE_QUARANTINED
`早知你坐佢架車仲好。`	Only `架車` is `ModifiedNP`; root coverage PARTIAL.	Removing `咪` does not expose a complete relation and demonstrates that substring NP coverage is irrelevant.	Presence/absence of `咪` must be tested semantically and prosodically; both profiles require a higher regret relation.	MINIMAL_CONTRAST_FOR_PANEL_NO_IMPLEMENTATION
`咪去。`	Full `ProhibitiveImperative` spanning `咪去`; root coverage PASS.	The same graph `咪` already has an executable prohibition path that could falsely capture regret-apodosis material.	`咪仲好` in the native hindsight utterance is retrospective/evaluative, not an instruction not to perform `好`.	EXPLICITLY_EXCLUDE_PROHIBITIVE_PATH
`係咪好？`	NO_TOP_CONSTRUCTION; `係咪` and `好` remain unwrapped.	The runtime lacks a reliable general polyfunctionality analysis for `咪` even in a polar control.	Polar `係咪` is a distinct unit and cannot support the hindsight-apodosis reading.	KEEP_POLAR_MI5_SEPARATE
`我咪去囉。`	Only `去` is `DirectionalMotionVP`; `我咪` remains unwrapped; root coverage PARTIAL.	Possible inferential/consequence `咪` is not represented.	This discourse use may be a relevant comparator but does not by itself analyze `早知 … 咪仲好`.	INFERENTIAL_MI5_COMPARATOR_RESEARCH_PENDING
`如果係咁，我就唔去。`	Full `ClauseRelationGraph` with left/right member spans and `唔去`; root coverage PASS.	Existing general condition-consequence infrastructure can represent an ordinary explicit conditional.	`早知` adds conventional past counterfactual regret, permits omitted/reordered material, and cannot be reduced to an ordinary open `如果` condition.	POSSIBLE_FUTURE_SUBSTRATE_NOT_SUFFICIENT_ANALYSIS
`早啲去就好。`	Only `去` is `DirectionalMotionVP`; `早`, `啲`, `就`, and `好` remain unwrapped; root coverage PARTIAL.	Shares early-time and evaluative material but lacks the `早知` marker and too-late-knowledge relation.	The primary study distinguishes ordinary `早啲 + VP` from CCR `早知(道)`.	NEGATIVE_CONTROL_EXCLUDE_FROM_REGRET_FRAME
`冇人可以早知結果。`	Broad `ModalVP` spans `可以早知結果`; `冇人` remains unwrapped; root coverage PARTIAL.	The string `早知` occurs inside a possible lexical-foreknowledge reading without an overt unrealized remedy.	A complete regret construction requires the counterfactual-remedy discourse relation; graph identity alone is insufficient.	LEXICAL_FOREKNOWLEDGE_BOUNDARY_QUARANTINED
ConditionalClause / ClauseRelationGraph	General condition-result and relation graph infrastructure, strongly successful for explicit `如果 … 就 …` controls.	Shares biclausal organization and optional `就`.	Target has a dedicated `早知(道)` marker, too-late knowledge, unrealized past remedy, regret stance, and noncanonical omission/order profiles.	DO_NOT_MERGE_WITH_UNTYPED_GENERIC_CONDITIONAL
ProhibitiveImperative	Executable `咪 + VP` prohibition.	Shares overt `咪` before predicate-like material.	Native `咪仲好` is evaluative within hindsight and cannot be given imperative force.	POLYFUNCTIONALITY_GUARD_REQUIRED
NegatedVP / NegatedDirectionalMotionVP	Recognizes negative remedy predicates such as `唔去`.	May form a child inside the consequent.	Negation describes the unrealized remedy; it does not encode the higher knowledge-regret relation.	RETAIN_AS_CHILD_ONLY_NOT_FRAME_REPLACEMENT
ModalVP	Recognizes internal consequent substrings with `會` or broad modal-looking spans.	May contain modal evaluation or consequence material.	A modal child cannot identify the `早知` complement, counterfactual relation, regret holder, or unrealized alternative.	RETAIN_AS_CHILD_ONLY_NOT_FRAME_REPLACEMENT
Immediate-anteriority / `一…就…` families	Use `就` in temporal or contingency relations.	Shares the consequence marker graph.	Target does not require `一`, is not ordinary temporal succession, and contributes hindsight regret over a past unrealized remedy.	KEEP_CONSTRUCTION_FAMILIES_SEPARATE
