probe_or_target	current_runtime_result	overlap_or_failure	decisive_evidence_difference	current_disposition
我寧願去啲唔鍾意嘅公司度做嘢，都唔想渾渾噩噩噉又過多年。	ClauseLink with truncated Preference and member-internal rows	The generic relation and local preference do not encode chosen and rejected members.	The sourced example explicitly contrasts accepted work with the rejected alternative.	REJECTION_CORE_PARTLY_MASKED
阿Tom寧願行十公里路，都唔肯俾錢買飛搭巴士。	Member-internal VP rows only	Neither the preference relation nor the refusal predicate receives a paired analysis.	The sourced example chooses walking over refusing to pay for transport.	M4HANG2_REJECTION_PROFILE_MISSING
我真係寧願畀人記大過都唔好撞到嗰味嘢。	VP child only	The paired relation and negative continuation are absent.	Official drama material attests colloquial 都唔好 rejection.	M4HOU2_REJECTION_PROFILE_MISSING
我以後寧願坐火車都唔想坐飛機。	VP and ModalVP children only	The two transport alternatives are not ordered by preference.	The romanized lesson explicitly supplies the paired surface.	M4SOENG2_REJECTION_PROFILE_MISSING
有啲人寧願退黨都要補上空缺。	ModalVP child only	The accepted cost and committed goal are not related.	The lexicographic example attests a positive 都要 continuation rather than rejected B.	COMMITTED_GOAL_PROFILE_MISSING
寧願自己俾錢睇私家醫生。	VP child only	The lexical preference is not represented, but no paired relation should be inferred.	HKCanCor independently attests complete lone 寧願 preference.	LONE_PREFERENCE_CONTROL
與其坐飛機，不如坐火車。	ClauseLink with Suggest and VP children	Another preference construction overlaps semantically but uses different markers and option roles.	PRQ2-013 documents the ordered-alternative family separately.	JYU5KEI4_CONTROL_KEEP_SEPARATE
我情願留喺屋企。	Location child only	A lexical synonym does not license the target paired family automatically.	The checked target sources do not establish constructional equivalence.	CING4JYUN6_CONTROL_UNRESOLVED
寧願。	No construction rows	A lone marker has no complement or relation.	A licensed preference member is required.	EMPTY_COMPLEMENT_GUARD
寧願都唔。	No construction rows	Marker adjacency supplies neither a chosen nor rejected proposition.	Two semantically licensed members are required for the paired family.	EMPTY_MEMBER_GUARD
ClauseLink, Preference, ModalVP, VP, and Location	Generic and member-internal analyses	Can occur inside target and control surfaces.	They do not encode chosen, rejected, accepted-cost, or committed-goal roles.	RETAIN_AS_CHILDREN_ONLY
